"","beta_roots","beta_soc","r2_roots","r2_soc","site_code","bgb_c_stock_sum","lyr_soc_stock_calc_sum","land_cover","mat","map","clay","layer_bot_max","sand"
"1",0.925900725644379,0.974719355170867,0.984231646650209,0.994936513234145,"BART",544.632449792752,16107.056,"Temperate deciduous forest",6.2,1325.55,3.75555555555556,200,61.1555555555556
"2",0.95957473676012,0.95784826049002,0.975733973055489,0.994236221667659,"HARV",784.549003989513,19510.774,"Temperate deciduous forest",7.4,1199.61,6.98,160,73.81
"3",0.989409505514043,0.977202542701851,0.965945745437909,0.904292417567494,"RMNP",288.922275711383,30829.093,"Temperate coniferous forest",2.9,730.59,6.1125,160,79.5625
"4",0.970088678408117,0.984698166487688,0.994938470322165,0.9919208377952,"CPER",213.819102200444,9024.988,"grassland",8.6,344.24,19.5,200,61.8285714285714
"5",0.974975592066465,0.96640954040774,0.975805400666698,0.984853419354614,"STER",14.5815653501213,5706.903,"Agricultural",9.7,432.67,15,200,55.15
"6",0.902509785507824,0.953411654365615,0.996696337489279,0.987452588953913,"OAES",52.2031246181174,8849.884,NA,15.5,778.85,17.725,46,17.725
"7",0.971296663916766,0.983614010668948,0.992749884856561,0.986437250406463,"YELL",428.54786763256,22236.677,"Temperate coniferous forest",3.4,493.44,21.15,200,39.1375
"8",0.956209827314801,0.987504740761652,0.966394887272389,0.985525638535614,"MOAB",170.790946272581,5861.378,"grassland",10.1,319.46,10.0125,200,76.0375
"9",0.884467122492739,0.961802599889781,0.991087923080437,0.984566759623089,"NIWO",756.500984994462,18841.98,"Tundra",0.3,1004.54,7.35,200,69.0333333333333
"10",0.980185973714558,0.984758514115708,0.978778911948142,0.994873973704886,"ONAQ",270.978655456734,7058.414,"Shrubland",9,288.31,13.0625,200,53.025
"11",0.965689339811558,0.956772198450825,0.963508065693309,0.988306538805959,"BLAN",184.188229240779,6001.269,"Shrubland",12.1,982.55,26.4714285714286,200,24.9285714285714
"12",0.989569862011817,0.956205103971801,0.889649577456457,0.965995768737526,"SCBI",201.965702577176,7366.952,"Temperate deciduous forest",11.6,1125.5,33.45,200,17.1375
"13",0.961476189604841,0.968989324756443,0.949348996824379,0.950177777673605,"SERC",221.367160606234,10247.58,"Temperate deciduous forest",13.6,1074.65,19.9583333333333,200,59.475
"14",0.955676084886423,0.984483036531276,0.988209933867577,0.938469164861049,"DSNY",236.849019209462,15113.276,"grassland",22.5,1216.09,0.488888888888889,200,96.2222222222222
"15",0.981282511401281,0.982312463245745,0.972818270993348,0.967704192527705,"JERC",194.475393098881,6007.973,"Temperate coniferous forest",19.2,1307.97,7.82,200,81.66
"16",0.967626358144766,0.977822384741597,0.985067750115326,0.988663984585668,"OSBS",236.884203312718,2664.621,"Temperate coniferous forest",20.9,1302.09,1.175,200,97.225
"17",0.973715697530596,0.96660916246833,0.861921681835624,0.977446013998187,"UNDE",127.530950589652,13048.007,"Temperate deciduous forest",4.3,802.3,11.63,200,38.91
"18",0.950278927803044,0.985581583400391,0.903835735848024,0.977978102452037,"KONZ",1065.43346585917,37673.852,"grassland",12.4,870.38,36.4,200,7.04285714285714
"19",0.98417382443452,0.976657744241946,0.970666307652222,0.991852684331251,"UKFS",444.677288045557,38957.866,"Temperate deciduous forest",12.7,990.63,43.9875,200,6.45
"20",0.931761073457743,0.9700992357339,0.984105619625367,0.980904398739268,"MLBS",273.159494729225,33901.105,"Temperate deciduous forest",8.8,1227.82,15.8,205,58.3222222222222
"21",0.965670744372686,0.968370138787364,0.931859885105966,0.963324901361153,"ORNL",360.350877995331,8077.528,"Temperate deciduous forest",14.4,1340.32,28.1666666666667,180,24.3166666666667
"22",0.978659386911425,0.969718993936941,0.967549363041845,0.989873726346598,"DELA",269.678056623416,9714.664,"Temperate deciduous forest",17.6,1371.7,32.8571428571429,200,17.8571428571429
"23",0.936762051213242,0.988594018781171,0.888674151118568,0.938537801182669,"DCFS",274.421097112783,26071.495,"grassland",4.9,489.74,29,200,32.57
"24",0.916671722068395,0.982909210243902,0.779156173764178,0.996354558984592,"NOGP",470.180738027515,21436.289,"Agricultural",5.9,456.51,26.47,200,24.01
"25",0.941420567803435,0.967829361816351,0.903547113688893,0.98997923003209,"WOOD",302.132949985762,12366.994,"Agricultural",4.9,493.76,9.05714285714286,200,77.2
