"google_dir","layer_top","layer_bot","layer_mid","time_series","layers","var_n","avg","min","max"
"ARC1",142,157,NA,"NO","NO",1,1.8,1.8,1.8
"ARC2",0,3,NA,"NO","NO",0,NA,NA,NA
"ARC2",0,5.5,NA,"NO","NO",1,33.2,33.2,33.2
"ARC2",0,7.5,NA,"NO","NO",1,20.9,20.9,20.9
"ARC2",0,10,NA,"NO","NO",116,NA,NA,NA
"ARC2",0,NA,NA,"NO","NO",0,NA,NA,NA
"ARC2",10,13,NA,"NO","NO",3,28.5,11.2,43.7
"ARC2",10,14,NA,"NO","NO",6,NA,NA,NA
"ARC2",10,14.5,NA,"NO","NO",1,31.8,31.8,31.8
"ARC2",10,15,NA,"NO","NO",5,38.3,29.3,46.7
"ARC2",10,15.5,NA,"NO","NO",1,38.2,38.2,38.2
"ARC2",10,16,NA,"NO","NO",3,32.8,18.4,47.3
"ARC2",10,17,NA,"NO","NO",2,30.4,21,39.9
"ARC2",10,18,NA,"NO","NO",1,42.2,42.2,42.2
"ARC2",10,18.5,NA,"NO","NO",1,38,38,38
"ARC2",10,19,NA,"NO","NO",7,38.5,21.7,46.3
"ARC2",10,20,NA,"NO","NO",3,40.5,34.6,45.9
"ARC2",10,20.5,NA,"NO","NO",2,42.1,39.9,44.3
"ARC2",10,21,NA,"NO","NO",4,34.1,28.5,40.2
"ARC2",10,21.5,NA,"NO","NO",1,32.5,32.5,32.5
"ARC2",10,22,NA,"NO","NO",4,39.6,30.7,43.2
"ARC2",10,23,NA,"NO","NO",2,NA,NA,NA
"ARC2",10,23.5,NA,"NO","NO",3,38.7,35,42.8
"ARC2",10,24,NA,"NO","NO",2,43.1,40.2,46.1
"ARC2",10,24.5,NA,"NO","NO",1,NA,NA,NA
"ARC2",10,25,NA,"NO","NO",1,27.3,27.3,27.3
"ARC2",10,26,NA,"NO","NO",4,36.2,28.3,40.3
"ARC2",10,27,NA,"NO","NO",2,34.6,30.9,38.2
"ARC2",10,28,NA,"NO","NO",1,24.4,24.4,24.4
"ARC2",10,29,NA,"NO","NO",1,44.6,44.6,44.6
"ARC2",10,30,NA,"NO","NO",2,39.6,39.1,40.2
"ARC2",10,31,NA,"NO","NO",1,26.8,26.8,26.8
"ARC2",10,34,NA,"NO","NO",1,42.9,42.9,42.9
"ARC2",10,37.5,NA,"NO","NO",1,41.9,41.9,41.9
"ARC2",10,41,NA,"NO","NO",1,37.3,37.3,37.3
"ARC2",10,NA,NA,"NO","NO",6,36,12,67.9
"BcCZO",5,0,NA,"NO","NO",97,6.2,1.1,17.1
"BES",0,10,NA,"NO","NO",81,2.7,0.5,4.9
"BES",10,30,NA,"NO","NO",81,0.9,0,3.6
"BES",30,70,NA,"NO","NO",72,NA,NA,NA
"BES",70,100,NA,"NO","NO",67,NA,NA,NA
"BNZ1",NA,1.3,NA,"NO","NO",2,46.2,46.2,46.3
"BNZ1",NA,1.6,NA,"NO","NO",1,43.9,43.9,43.9
"BNZ1",NA,1.7,NA,"NO","NO",3,46.5,45.6,47.3
"BNZ1",NA,2.3,NA,"NO","NO",4,45.3,44.9,45.8
"BNZ1",NA,2.7,NA,"NO","NO",3,45.1,44.5,46
"BNZ1",NA,3,NA,"NO","NO",4,45.1,44.5,45.9
"BNZ1",NA,3.3,NA,"NO","NO",5,45.1,44.1,46
"BNZ1",NA,3.7,NA,"NO","NO",1,45.5,45.5,45.5
"BNZ1",NA,3.8,NA,"NO","NO",1,45.6,45.6,45.6
"BNZ1",NA,4,NA,"NO","NO",1,44.2,44.2,44.2
"BNZ1",NA,5.5,NA,"NO","NO",1,44.3,44.3,44.3
"BNZ1",NA,6,NA,"NO","NO",1,44.8,44.8,44.8
"BNZ1",NA,6.2,NA,"NO","NO",1,44.5,44.5,44.5
"BNZ1",NA,6.3,NA,"NO","NO",2,40.2,36.4,44.1
"BNZ1",NA,6.5,NA,"NO","NO",1,37.4,37.4,37.4
"BNZ1",NA,6.7,NA,"NO","NO",1,44,44,44
"BNZ1",NA,7,NA,"NO","NO",1,44.1,44.1,44.1
"BNZ1",NA,7.3,NA,"NO","NO",1,41.2,41.2,41.2
"BNZ1",NA,8,NA,"NO","NO",2,40.9,40.1,41.8
"BNZ1",NA,8.2,NA,"NO","NO",2,40,37.1,42.9
"BNZ1",NA,8.3,NA,"NO","NO",2,43.8,43.4,44.1
"BNZ1",NA,10,NA,"NO","NO",32,7.4,2,44
"BNZ1",NA,10.2,NA,"NO","NO",2,37.4,35.5,39.2
"BNZ1",NA,11,NA,"NO","NO",1,43.5,43.5,43.5
"BNZ1",NA,11.2,NA,"NO","NO",1,39.3,39.3,39.3
"BNZ1",NA,11.7,NA,"NO","NO",1,41.5,41.5,41.5
"BNZ1",NA,13.7,NA,"NO","NO",1,40.8,40.8,40.8
"BNZ1",NA,14,NA,"NO","NO",2,41,37.6,44.4
"BNZ1",NA,14.1,NA,"NO","NO",1,42.6,42.6,42.6
"BNZ1",NA,14.3,NA,"NO","NO",1,43.5,43.5,43.5
"BNZ1",NA,15,NA,"NO","NO",1,45.9,45.9,45.9
"BNZ1",NA,15.5,NA,"NO","NO",1,45.4,45.4,45.4
"BNZ1",NA,18,NA,"NO","NO",2,43.9,42.8,45.1
"BNZ1",NA,21,NA,"NO","NO",1,43.6,43.6,43.6
"BNZ2",0,5,NA,"NO","NO",18,42.6,41.3,44.8
"BNZ2",0,10,NA,"NO","NO",17,12,4.6,20
"BNZ2",5,15,NA,"NO","NO",17,41.6,39.4,45.9
"BNZ2",10,12,NA,"NO","NO",2,25.6,19.4,31.9
"BNZ2",10,14,NA,"NO","NO",1,5.4,5.4,5.4
"BNZ2",10,20,NA,"NO","NO",13,13.1,2.6,24.6
"BNZ2",15,25,NA,"NO","NO",18,39.4,36.5,41.6
"BNZ2",20,26,NA,"NO","NO",1,14.8,14.8,14.8
"BNZ2",20,28,NA,"NO","NO",1,5.6,5.6,5.6
"BNZ2",20,30,NA,"NO","NO",11,17.7,3.9,27.8
"BNZ2",25,35,NA,"NO","NO",17,NA,NA,NA
"BNZ2",30,32,NA,"NO","NO",1,27.8,27.8,27.8
"BNZ2",30,40,NA,"NO","NO",9,15.1,3.5,27.6
"BNZ2",35,40,NA,"NO","NO",1,33.9,33.9,33.9
"BNZ2",35,41,NA,"NO","NO",1,39.2,39.2,39.2
"BNZ2",35,43,NA,"NO","NO",1,34.7,34.7,34.7
"BNZ2",35,50,NA,"NO","NO",1,39.9,39.9,39.9
"BNZ2",35,54,NA,"NO","NO",1,27.6,27.6,27.6
"BNZ2",35,59,NA,"NO","NO",1,29.6,29.6,29.6
"BNZ2",35,61,NA,"NO","NO",1,31.6,31.6,31.6
