"","site_code","location_name","latlong","gaps","depth","analyte_profile_conc"
"37.03269, -119.2621","SOAP",NA,"37.03269, -119.2621",0,213,1.76525821596244
"38.135833, -84.500556","1","1","1",1,1,1
"31.809753, -110.893755","SRER","SRER_initSoil","31.809753, -110.893755",0,100,0.214
"31.813686, -110.806586","SRER","SRER_initSoil","31.813686, -110.806586",0,102,0.169607843137255
"31.833493, -110.84364","SRER","SRER_initSoil","31.833493, -110.84364",0,102,0.263725490196078
"31.840609, -110.917189","SRER","SRER_initSoil","31.840609, -110.917189",0,102,0.152941176470588
"31.852737, -110.857874","SRER","SRER_initSoil","31.852737, -110.857874",0,102,0.184313725490196
"31.867013, -110.81472","SRER","SRER_initSoil","31.867013, -110.81472",0,102,0.568627450980392
"31.874117, -110.887014","SRER","SRER_initSoil","31.874117, -110.887014",0,102,0.135294117647059
"31.897668, -110.874932","SRER","SRER_initSoil","31.897668, -110.874932",0,102,0.138235294117647
"31.897965, -110.908251","SRER","SRER_initSoil","31.897965, -110.908251",0,100,0.478
"31.905498, -110.847005","SRER","SRER_initSoil","31.905498, -110.847005",0,102,0.31078431372549
"31.906778, -110.815262","SRER","SRER_initSoil","31.906778, -110.815262",0,100,0.485
"31.910099, -110.837175","SRER","SRER_initSoil","31.910099, -110.837175",0,100,0.3
"31.91068, -110.83549","SRER",NA,"31.91068, -110.83549",0,203,0.161576354679803
"36.975521, -119.0651622","SSCZO","Bull Creek","36.975521, -119.0651622",0,120,2.42769768989478
"37.0311, -119.2563","2","2","2",2,2,2
"37.0671, -118.9871","2","2","2",2,2,2
"37.0673, -119.1948","2","2","2",2,2,2
"37.1087, -119.7313","2","2","2",2,2,2
"37.055226, -119.1938832","SSCZO","Providence creek","37.055226, -119.1938832",0,120,2.6275473426777
"45.505662, -89.587395","STEI","STEI_initSoil","45.505662, -89.587395",0,100,0.978
"45.508883, -89.588327","STEI","STEI_initSoil","45.508883, -89.588327",0,100,0.658
"45.785871, -90.048075","STEI","STEI_initSoil","45.785871, -90.048075",0,100,0.945
"45.787641, -90.104113","STEI","STEI_initSoil","45.787641, -90.104113",0,100,0.902
"45.793771, -90.096361","STEI","STEI_initSoil","45.793771, -90.096361",0,100,0.7
"45.802507, -90.06211","STEI","STEI_initSoil","45.802507, -90.06211",0,100,1.081
"45.804414, -90.052165","STEI","STEI_initSoil","45.804414, -90.052165",0,100,11.758
"45.804881, -90.07457","STEI","STEI_initSoil","45.804881, -90.07457",0,100,1.074
"45.810955, -90.099612","STEI","STEI_initSoil","45.810955, -90.099612",0,100,0.807
"45.817469, -90.078389","STEI","STEI_initSoil","45.817469, -90.078389",0,100,0.967
"45.82223, -90.073206","STEI","STEI_initSoil","45.82223, -90.073206",0,100,1.911
"45.826444, -90.086211","STEI","STEI_initSoil","45.826444, -90.086211",0,100,0.82
"45.829717, -90.074788","STEI","STEI_initSoil","45.829717, -90.074788",0,100,1.005
"45.835991, -90.072824","STEI","STEI_initSoil","45.835991, -90.072824",0,100,52.094
"45.5076, -89.5888","STEI",NA,"45.5076, -89.5888",0,200,0.464
"40.460611, -103.030496","STER","STER_initSoil","40.460611, -103.030496",0,100,1.046
"40.460659, -103.033324","STER","STER_initSoil","40.460659, -103.033324",0,100,0.542
"40.463935, -103.035332","STER","STER_initSoil","40.463935, -103.035332",0,100,0.591
"40.465261, -103.0346","STER","STER_initSoil","40.465261, -103.0346",0,100,0.468
"40.468561, -103.011749","STER","STER_initSoil","40.468561, -103.011749",0,100,0.924
"40.469719, -103.016662","STER","STER_initSoil","40.469719, -103.016662",0,100,0.288
"40.472029, -103.025102","STER","STER_initSoil","40.472029, -103.025102",0,100,0.439
"40.473273, -103.018333","STER","STER_initSoil","40.473273, -103.018333",0,100,0.583
"40.47639, -103.011866","STER","STER_initSoil","40.47639, -103.011866",0,100,0.376
"40.478666, -103.019238","STER","STER_initSoil","40.478666, -103.019238",0,100,0.291
"40.480827, -103.018821","STER","STER_initSoil","40.480827, -103.018821",0,100,0.501
"40.45984, -103.03008","STER",NA,"40.45984, -103.03008",0,200,0.2655
"-29.81161, 30.71573","1","1","1",1,1,1
"78.7, 16.4","1","1","1",1,1,1
"32.884749, -87.454396","TALL","TALL_initSoil","32.884749, -87.454396",0,100,1.693
"32.891315, -87.431326","TALL","TALL_initSoil","32.891315, -87.431326",0,52,1.76153846153846
"32.897128, -87.397349","TALL","TALL_initSoil","32.897128, -87.397349",0,100,1.222
"32.898843, -87.446128","TALL","TALL_initSoil","32.898843, -87.446128",0,100,0.601
"32.899318, -87.389038","TALL","TALL_initSoil","32.899318, -87.389038",0,100,0.638
"32.899579, -87.396413","TALL","TALL_initSoil","32.899579, -87.396413",0,100,0.442
"32.899796, -87.406679","TALL","TALL_initSoil","32.899796, -87.406679",0,100,0.299
"32.899922, -87.449039","TALL","TALL_initSoil","32.899922, -87.449039",0,100,0.64
"32.910055, -87.408651","TALL","TALL_initSoil","32.910055, -87.408651",0,100,0.615
"32.910314, -87.420828","TALL","TALL_initSoil","32.910314, -87.420828",0,100,0.418
"32.916353, -87.389753","TALL","TALL_initSoil","32.916353, -87.389753",0,100,0.919
"32.916736, -87.43788","TALL","TALL_initSoil","32.916736, -87.43788",0,100,0.805
"32.919031, -87.397461","TALL","TALL_initSoil","32.919031, -87.397461",0,100,0.761
"32.922158, -87.428893","TALL","TALL_initSoil","32.922158, -87.428893",0,100,0.752
"32.924116, -87.421557","TALL","TALL_initSoil","32.924116, -87.421557",0,100,1.392
"32.926832, -87.418701","TALL","TALL_initSoil","32.926832, -87.418701",0,100,1.571
"32.929574, -87.411964","TALL","TALL_initSoil","32.929574, -87.411964",0,48,1.44791666666667
"32.950117, -87.407531","TALL","TALL_initSoil","32.950117, -87.407531",0,100,0.57
"32.952869, -87.397604","TALL","TALL_initSoil","32.952869, -87.397604",0,100,1.118
"32.95449, -87.4034159999999","TALL","TALL_initSoil","32.95449, -87.4034159999999",0,100,2.862
"32.955991, -87.426831","TALL","TALL_initSoil","32.955991, -87.426831",0,100,0.639
"32.956317, -87.410146","TALL","TALL_initSoil","32.956317, -87.410146",0,100,0.399
"32.957884, -87.432613","TALL","TALL_initSoil","32.957884, -87.432613",0,100,0.687
"32.970412, -87.415023","TALL","TALL_initSoil","32.970412, -87.415023",0,100,0.846
"32.974429, -87.42694","TALL","TALL_initSoil","32.974429, -87.42694",0,100,0.665
"32.95106, -87.3941","TALL",NA,"32.95106, -87.3941",0,200,0.306
"37.006472, -119.005758","TEAK",NA,"37.006472, -119.005758",0,205,1.88536585365854
"31.044, -97.349","1","1","1",1,1,1
"68.561237, -149.510272","TOOL","TOOL_initSoil","68.561237, -149.510272",0,100,8.347
"68.563891, -149.495097","TOOL","TOOL_initSoil","68.563891, -149.495097",0,100,11.414
"68.565846, -149.507823","TOOL","TOOL_initSoil","68.565846, -149.507823",0,120,5.71
"68.576514, -149.513442","TOOL","TOOL_initSoil","68.576514, -149.513442",0,100,12.511
"68.600005, -149.510163","TOOL","TOOL_initSoil","68.600005, -149.510163",0,105,13.1009523809524
"68.60015, -149.5006","TOOL","TOOL_initSoil","68.60015, -149.5006",0,110,16.9909090909091
"68.605121, -149.492277","TOOL","TOOL_initSoil","68.605121, -149.492277",0,91,8.67087912087912
"68.61519, -149.334813","TOOL","TOOL_initSoil","68.61519, -149.334813",0,140,14.0342857142857
"68.615252, -149.33037","TOOL","TOOL_initSoil","68.615252, -149.33037",0,105,1.1
"68.618876, -149.339608","TOOL","TOOL_initSoil","68.618876, -149.339608",0,100,16.175
"68.625975, -149.591304","TOOL","TOOL_initSoil","68.625975, -149.591304",0,90,31.9777777777778
"68.627437, -149.324279","TOOL","TOOL_initSoil","68.627437, -149.324279",0,100,12.676
"68.627943, -149.34723","TOOL","TOOL_initSoil","68.627943, -149.34723",0,100,13.645
"68.629992, -149.575527","TOOL","TOOL_initSoil","68.629992, -149.575527",0,110,2.79636363636364
"68.631468, -149.363066","TOOL","TOOL_initSoil","68.631468, -149.363066",0,100,21.714
"68.63578, -149.652988","TOOL","TOOL_initSoil","68.63578, -149.652988",0,105,6.13333333333333
"68.636964, -149.356276","TOOL","TOOL_initSoil","68.636964, -149.356276",0,100,11.606
"68.640255, -149.642462","TOOL","TOOL_initSoil","68.640255, -149.642462",0,100,34.552
"68.66045, -149.370128","TOOL",NA,"68.66045, -149.370128",0,73,12.8095890410959
"45.485853, -89.569416","TREE","TREE_initSoil","45.485853, -89.569416",0,100,51.322
"45.487728, -89.569877","TREE","TREE_initSoil","45.487728, -89.569877",0,100,1.266
"45.489236, -89.549988","TREE","TREE_initSoil","45.489236, -89.549988",0,100,0.694
"45.490088, -89.590099","TREE","TREE_initSoil","45.490088, -89.590099",0,100,0.832
"45.491628, -89.551229","TREE","TREE_initSoil","45.491628, -89.551229",0,100,0.443
"45.492422, -89.576617","TREE","TREE_initSoil","45.492422, -89.576617",0,100,0.943
"45.492522, -89.560123","TREE","TREE_initSoil","45.492522, -89.560123",0,100,1.189
"45.494189, -89.587993","TREE","TREE_initSoil","45.494189, -89.587993",0,100,1.293
"45.494385, -89.574025","TREE","TREE_initSoil","45.494385, -89.574025",0,100,0.531
"45.496656, -89.567981","TREE","TREE_initSoil","45.496656, -89.567981",0,100,1.899
"45.497235, -89.554551","TREE","TREE_initSoil","45.497235, -89.554551",0,84,33.6916666666667
"45.49266, -89.58748","TREE",NA,"45.49266, -89.58748",0,200,0.415
"40.075, -88.829","1","1","1",1,1,1
"38.519092, -90.564792","1","1","1",1,1,1
"27.433333, -81.916667","1","1","1",1,1,1
"39.031697, -95.195736","UKFS","UKFS_initSoil","39.031697, -95.195736",0,100,2.194
"39.031783, -95.190874","UKFS","UKFS_initSoil","39.031783, -95.190874",0,100,1.644
"39.032378, -95.18811","UKFS","UKFS_initSoil","39.032378, -95.18811",0,76,2.32763157894737
"39.033692, -95.18991","UKFS","UKFS_initSoil","39.033692, -95.18991",0,100,2.582
"39.033806, -95.198575","UKFS","UKFS_initSoil","39.033806, -95.198575",0,100,1.523
"39.036718, -95.20145","UKFS","UKFS_initSoil","39.036718, -95.20145",0,100,2.383
"39.037234, -95.205277","UKFS","UKFS_initSoil","39.037234, -95.205277",0,100,2.366
"39.037624, -95.196958","UKFS","UKFS_initSoil","39.037624, -95.196958",1,100,1.873
"39.041883, -95.201236","UKFS","UKFS_initSoil","39.041883, -95.201236",0,100,2.318
"39.043184, -95.202722","UKFS","UKFS_initSoil","39.043184, -95.202722",0,57,2.37017543859649
"39.045453, -95.211766","UKFS","UKFS_initSoil","39.045453, -95.211766",0,100,1.325
"39.045695, -95.198264","UKFS","UKFS_initSoil","39.045695, -95.198264",0,100,2.326
"39.047511, -95.202461","UKFS","UKFS_initSoil","39.047511, -95.202461",0,100,0.579
"39.047565, -95.198346","UKFS","UKFS_initSoil","39.047565, -95.198346",0,100,1.202
"39.053115, -95.192934","UKFS","UKFS_initSoil","39.053115, -95.192934",0,100,0.649
"39.0537, -95.2044","UKFS","UKFS_initSoil","39.0537, -95.2044",0,53,2.16792452830189
"39.055332, -95.189542","UKFS","UKFS_initSoil","39.055332, -95.189542",0,100,0.859
"39.04168, -95.20495","UKFS",NA,"39.04168, -95.20495",0,200,1.559
"-29.67, 30.4","1","1","1",1,1,1
"45.56, -84.71","UMBS","University of Michigan Biological Station","45.56, -84.71",0,20,1.15022744159865
"36.00828, -79.020423","1","1","1",1,1,1
"46.227897, -89.53713","UNDE","UNDE_initSoil","46.227897, -89.53713",0,152,0.382894736842105
"46.231276, -89.541941","UNDE","UNDE_initSoil","46.231276, -89.541941",0,106,4.90188679245283
"46.231744, -89.53264","UNDE","UNDE_initSoil","46.231744, -89.53264",0,148,0.910135135135135
"46.232246, -89.534567","UNDE","UNDE_initSoil","46.232246, -89.534567",0,113,44.9955752212389
"46.234247, -89.542459","UNDE","UNDE_initSoil","46.234247, -89.542459",0,137,0.89051094890511
"46.234502, -89.518756","UNDE","UNDE_initSoil","46.234502, -89.518756",0,151,2.79867549668874
"46.234625, -89.560771","UNDE","UNDE_initSoil","46.234625, -89.560771",0,167,0.61437125748503
"46.236979, -89.504463","UNDE","UNDE_initSoil","46.236979, -89.504463",0,100,0.885
"46.237778, -89.541857","UNDE","UNDE_initSoil","46.237778, -89.541857",0,102,47.6823529411765
"46.243048, -89.534709","UNDE","UNDE_initSoil","46.243048, -89.534709",0,175,50.0394285714286
"46.243103, -89.544804","UNDE","UNDE_initSoil","46.243103, -89.544804",0,200,47.04
"46.254613, -89.512657","UNDE","UNDE_initSoil","46.254613, -89.512657",0,112,0.817857142857143
"46.258243, -89.543562","UNDE","UNDE_initSoil","46.258243, -89.543562",0,100,1.526
"46.14103, -89.3221","UNDE",NA,"46.14103, -89.3221",0,200,0.473
"46.631345, 10.372252","1","1","1",1,1,1
"43.04, -89.42","WIS","UW-Madison Arboretum","43.04, -89.42",0,20,0.018525
"47.120197, -99.241126","WOOD","WOOD_initSoil","47.120197, -99.241126",0,100,3.298
"47.127465, -99.246302","WOOD","WOOD_initSoil","47.127465, -99.246302",0,100,1.884
"47.12829, -99.243528","WOOD","WOOD_initSoil","47.12829, -99.243528",0,100,0.99
"47.129092, -99.245921","WOOD","WOOD_initSoil","47.129092, -99.245921",0,100,2.251
"47.131002, -99.242763","WOOD","WOOD_initSoil","47.131002, -99.242763",0,100,3.172
"47.135031, -99.247919","WOOD","WOOD_initSoil","47.135031, -99.247919",0,200,0.6025
"47.137759, -99.229336","WOOD","WOOD_initSoil","47.137759, -99.229336",0,100,1.488
"47.138003, -99.243199","WOOD","WOOD_initSoil","47.138003, -99.243199",0,200,4.7365
"47.140675, -99.251915","WOOD","WOOD_initSoil","47.140675, -99.251915",0,200,1.2235
"47.145051, -99.232933","WOOD","WOOD_initSoil","47.145051, -99.232933",0,100,1.004
"47.146348, -99.263444","WOOD","WOOD_initSoil","47.146348, -99.263444",0,200,2.554
"47.146385, -99.244808","WOOD","WOOD_initSoil","47.146385, -99.244808",0,200,0.871
"47.146637, -99.247579","WOOD","WOOD_initSoil","47.146637, -99.247579",0,200,2.655
"47.146681, -99.225413","WOOD","WOOD_initSoil","47.146681, -99.225413",0,100,1.72
"47.151218, -99.25315","WOOD","WOOD_initSoil","47.151218, -99.25315",0,200,1.2105
"47.12833, -99.23907","WOOD",NA,"47.12833, -99.23907",0,200,0.582
"45.811294, -121.990796","WREF","WREF_initSoil","45.811294, -121.990796",0,100,3.295
"45.818946, -121.976","WREF","WREF_initSoil","45.818946, -121.976",0,100,6.091
"45.819757, -121.968998","WREF","WREF_initSoil","45.819757, -121.968998",0,100,4.488
"45.824185, -121.955555","WREF","WREF_initSoil","45.824185, -121.955555",0,100,4.04
"45.826426, -121.993608","WREF","WREF_initSoil","45.826426, -121.993608",0,100,5.176
"45.834707, -121.983393","WREF","WREF_initSoil","45.834707, -121.983393",0,100,4.053
"45.835857, -122.018935","WREF","WREF_initSoil","45.835857, -122.018935",0,100,2.49
"45.835945, -122.001901","WREF","WREF_initSoil","45.835945, -122.001901",0,100,3.678
"45.840576, -121.863912","WREF","WREF_initSoil","45.840576, -121.863912",0,100,3.07
"45.842751, -122.00835","WREF","WREF_initSoil","45.842751, -122.00835",0,100,5.229
"45.849144, -121.996649","WREF","WREF_initSoil","45.849144, -121.996649",0,100,4.812
"45.81637, -121.95838","WREF",NA,"45.81637, -121.95838",0,200,3.141
"-33.61, 150.73","1","1","1",1,1,1
"44.904015, -110.418459","YELL","YELL_initSoil","44.904015, -110.418459",0,35,9.28
"44.917485, -110.410361","YELL","YELL_initSoil","44.917485, -110.410361",0,87,2.16781609195402
"44.917831, -110.428945","YELL","YELL_initSoil","44.917831, -110.428945",0,105,1.19904761904762
"44.938373, -110.432189","YELL","YELL_initSoil","44.938373, -110.432189",0,49,3.03265306122449
"44.939773, -110.641312","YELL","YELL_initSoil","44.939773, -110.641312",0,96,1.45625
"44.944613, -110.433659","YELL","YELL_initSoil","44.944613, -110.433659",0,85,1.22235294117647
"44.948383, -110.631377","YELL","YELL_initSoil","44.948383, -110.631377",0,105,1.08952380952381
"44.955431, -110.494795","YELL","YELL_initSoil","44.955431, -110.494795",0,68,2.84117647058824
"44.962834, -110.593234","YELL","YELL_initSoil","44.962834, -110.593234",0,110,2.05545454545455
"44.966541, -110.503423","YELL","YELL_initSoil","44.966541, -110.503423",0,57,1.04912280701754
"44.968096, -110.492027","YELL","YELL_initSoil","44.968096, -110.492027",0,104,0.295192307692308
"44.95597, -110.54196","YELL",NA,"44.95597, -110.54196",0,200,1.2
