"","AND_10YR_CN","AND_10YR_DenseFrac","AND_15YR_CN","ARC1","ARC2","BcCZO","BES","BNZ1","BNZ2","BNZ3","BNZ4","BOU_20YR_roots","BOU_20YR_soilchem","Calhoun","cap.survey_200","CWT_ws7and2_soilCN","CWTgradient_forestfloor","NEON_megapitSOIL_a-master-database","som_testing_env","som_testing_envII"
"frc_n_tot",0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"frc_c_to_n",0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lyr_c_to_n",0,0,44,0,191,133,290,0,0,0,0,0,0,59,1376,1274,0,0,112,0
"doi_number",0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
"L2",0,0,0,10,2,10,40,2,7,58,3,0,0,2,0,29,4,263,2,0
"L2_level",0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0
"L3",0,0,0,15,32,182,3,5,0,2,6,0,0,15,0,107,0,0,5,0
"L3_level",0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0
"lyr_soc_stock",0,0,0,332,188,0,320,0,153,0,0,0,0,0,0,0,113,0,0,0
"lyr_n_tot_stock",0,0,0,234,189,0,293,0,153,0,0,0,0,0,0,0,111,0,46,0
"hzn",0,0,0,2,2,0,0,4,2,11,0,0,5,20,0,0,3,112,0,0
"L4",0,0,0,0,15,0,0,0,0,20,0,0,0,15,0,0,0,0,2,0
"L4_level",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"comment_location",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parent_material",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"rock_chem",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"veg_note_profile",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sand",0,0,0,0,0,130,269,0,0,0,0,1,1,40,380,0,0,228,44,0
"aspect",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"align_1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"tx_L2",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"tx_L2_level",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"tx_L3",0,0,0,0,0,0,23,0,0,0,0,0,0,6,0,0,0,0,0,0
"tx_L3_level",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"silt",0,0,0,0,0,0,271,0,0,0,0,1,1,38,326,0,0,224,34,0
"clay",0,0,0,0,0,0,233,0,0,0,0,1,1,38,251,0,0,203,25,0
"mbc_trans",0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0
"mbn_raw",0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0
"n_min",0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,171,0
"datum",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
"p_ex",0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
"aspect_class",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"aspect_deg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"lyr_13c",0,0,0,0,0,0,0,0,117,0,32,0,0,104,0,0,0,0,0,0
"lyr_15n",0,0,0,0,0,0,0,0,0,0,46,0,0,67,0,0,0,0,0,0
"agb",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"drainage_class",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
"slope",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"observation_date_1",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,2,0,0,0
"layer_mid",0,0,0,0,0,0,0,0,0,0,0,5,0,62,0,0,0,0,0,0
"bgb_lowerdiam",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"bgb_upperdiam",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"bgb",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"bgb_c",0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
"lyr_loi",0,0,0,0,0,0,0,0,0,0,0,0,66,0,1348,0,0,0,214,0
"depth_water",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"parent_transport",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"L5",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0
"L5_level",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"tx_L4",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"tx_L4_level",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"bd_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
"ph_cacl",0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,52,0,0
"soil_taxon",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,33,0,0
"data_doi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"loi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ph_other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lyr_c_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,0,0,0,0
"p_ex_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,0,0,240,0,0
"loc_comments",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"slope_shape",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"observation_date_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0
"c_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0
"soc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
"n_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
"caco3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
"ca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0
"mg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0
"k",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0
"na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0
"fe_HCl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0
"al",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0
"base_sum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0
"ecec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0
"bs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0
"soil_series",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
