"","bd_samp","elevation","header_row","key_version","layer","map","mat","ph_h2o","tx_start","lyr_soc","lyr_n_tot","layer_top","layer_bot","frc_low_cutoff","frc_oc","frc_n_tot","frc_c_to_n","lyr_c_to_n","lyr_soc_stock","lyr_n_tot_stock","sand","silt","clay","mbc_trans","mbn_raw","n_min","p_ex","aspect_deg","lyr_13c","lyr_15n","agb","slope","layer_mid","bgb_lowerdiam","bgb_upperdiam","bgb","bgb_c","lyr_loi","depth_water","L5","bd_tot","ph_cacl","loi","ph_other","lyr_c_tot","p_ex_1","bgb_n","lit_c","lit_n","lit_cn","litterfall_anpp","bnpp","bgb_cn","tx_L5","coarse_frac","coarse_tot","ca","mg","k","X.bd_","Ca","Mg","K","Na","cat_exch","base_sum","bs","lyr_al_py","lyr_si_py","lyr_fe_ox","lyr_al_ox","lyr_si_ox","lyr_fe_dith","lyr_si_dith","na","al","ecec","no3_n","nh4_n","cec_sum","anpp","npp","wood_lit_c","lyr_som_WalkleyBlack","caco3","lit_p","c_tot","soc","n_tot","fe_HCl","frc_c_tot","c_tot_se","n_tot_se","n_replicates"
"NutNetJoined",NA,677.5,NA,2,NA,796.3,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NWT_SnowFence_soils_2015",NA,3600,1,2,NA,1000,-3.8,NA,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PNW_HJA_Forest reference stands",NA,665.2,1,2,NA,2275.6,7.8,NA,NA,NA,NA,0,100,NA,NA,NA,NA,NA,17026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38352.3,NA,NA,NA,NA,13592.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JRB_CZO",NA,3000,NA,2,NA,690,4.8,NA,NA,NA,NA,36.1,55.6,NA,NA,NA,NA,NA,NA,NA,45,32.7,22.3,NA,NA,NA,NA,NA,NA,NA,19500,26,45.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCM_CZO",NA,2400,1,2,NA,860,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEV_towerGradient",NA,2114.4,1,2,NA,403.8,11.7,NA,NA,2.2,0.1,0,10,NA,NA,NA,NA,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sev.134.265065_151026075960510582",NA,1615,1,2,NA,236,11.8,NA,1989,NA,NA,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shale Hills CZO",NA,273,NA,2,NA,1000,10,NA,NA,NA,0.1,47.7,57.3,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sgs.102.17",NA,1646,1,2,NA,360,16,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.3,14.4,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moreland_Tian_SSCZO",NA,1554.7,1,2,NA,884.5,9.6,NA,NA,2.5,0.1,67.2,86.8,NA,NA,NA,NA,22.6,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,-24.9,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stacy_2015_ssCZO_Bull",NA,2300,NA,2,NA,1500,7.8,NA,NA,NA,0.4,2.7,9.6,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,3.1
"Stacy_2015_ssCZO_Providence",NA,1878.9,NA,2,NA,1500,11.3,NA,NA,NA,0.4,2.7,9.6,NA,NA,NA,NA,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,3
